ID_g;ID_File;LWD63;LWD125;LWD250;LWD500;LWD1000;LWD2000;LWD4000;LWD8000;P10;P25;P50;P75;P90;Alpha;T
77;3;44,29980154;54,85213462;59,72024712;53,05039205;40,1549309;49,96747227;43,0848233;22,97667978;-41,15136076;-32,66989927;-25,56566741;-19,99417037;-15,92237296;8,5;18
78;3;42,24310008;45,11240656;52,4964935;49,3744048;49,03373427;46,04937989;38,77930689;17,39351097;-44,41967418;-36,34698779;-29,22056905;-23,91542904;-20,42590682;9;19
79;3;43,7882723;48,19150198;55,41470628;52,76741472;45,80626059;46,59313542;40,33340802;19,64687127;-41,64961288;-33,56986396;-26,96856278;-22,18927253;-18,88880525;9,5;20
80;4;31,29960825;33,64778039;34,47486462;30,11166125;27,22557136;26,77190724;22,6103484;15,76305121;#NAME?;-64,73392668;-54,18539922;-48,3015878;-44,59785252;0;1
81;4;31,47720706;52,76048278;55,96795468;59,27026332;57,13762753;50,47123262;41,1472919;30,78233378;-58,26779887;-49,01983891;-34,84058732;-26,79296604;-21,08503293;0,5;2
82;4;27,20371621;30,06814896;49,19739937;46,90253159;32,3886076;34,08416195;34,41253523;35,17756488;-68,03013165;-59,67942036;-52,24719896;-41,81136597;-31,75133049;1;3
83;4;50,65903913;52,09437885;47,58542191;45,76842183;42,73278664;39,01136739;33,9625482;29,58454688;-59,67942036;-50,39629481;-39,80810256;-32,42267745;-27,64460956;1,5;4
84;4;35,59318585;49,81031011;42,16943439;39,35597036;46,86767114;43,45776753;34,44970874;28,70070204;-59,67942036;-51,51861365;-43,46054508;-35,31427239;-30,09452139;2;5
85;4;39,35560289;39,39537991;44,24742371;49,9575128;41,62348926;42,16586109;46,46661758;42,48740498;-58,48770656;-50,22257122;-43,18848156;-37,14877077;-29,89348894;2,5;6
86;4;43,30871052;53,65292522;57,78766681;57,13498167;49,12427693;45,60352393;48,54963542;42,07371385;-46,78717352;-38,42114769;-30,76367445;-25,63892349;-22,26377105;3;7
87;4;49,89885794;60,09320634;63,41142032;57,17222769;63,74040347;59,59361766;53,76458773;35,35863817;-39,78221315;-31,80275687;-24,19767243;-17,87924141;-14,33709062;3,5;8
